what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1315376279646
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315376285621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376288335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376297337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376321472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376345620
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1315376346290
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315376346805
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1315376350799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376410001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376601854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376620547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315376630949
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315376637158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377348779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377351158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377354883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377356294
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377361081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377372926
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315377378931
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315377382577
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315377386322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315377387913
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315377389045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315377394213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315377394475
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315377394719
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1315377401575
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315377403322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315377405813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315377407142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315377408057
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315377417690
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315377419162
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315377420020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377424887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377432721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377435462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377435504
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1315377435511
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315377439889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377441508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377447488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377465159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377471210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377502534
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377508513
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1315377513243
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315377516859
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1315377532802
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377542777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377543138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377543485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377543879
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377544233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377544642
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377544992
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377545357
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377545725
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377546151
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377546535
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1315377547327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315377552312
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1315377555823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1315377557276
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1315377560330
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315377561290
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377563246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377579840
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1315377581020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315377614149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315378253350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315378259390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315378260416
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1315378260434
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1315378262489
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315378263085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1315378801676
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1315378804230
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1315378806822
